Word,Minority_Group,White_Rate,Minority_Rate,Rate_Difference,Direction
agreed,Black,5.168539325842696,5.384615384615385,0.2160760587726891,higher
agreed,Hispanic,5.168539325842696,8.333333333333332,3.164794007490636,higher
agreed,Asian,5.168539325842696,0.0,-5.168539325842696,lower
difficult,Black,17.078651685393258,22.30769230769231,5.229040622299053,higher
difficult,Hispanic,17.078651685393258,12.5,-4.5786516853932575,lower
difficult,Asian,17.078651685393258,19.047619047619047,1.96896736222579,higher
confused,Black,10.561797752808989,10.0,-0.5617977528089888,lower
confused,Hispanic,10.561797752808989,8.333333333333332,-2.2284644194756567,lower
confused,Asian,10.561797752808989,4.761904761904762,-5.799892990904227,lower
compliance,Black,5.168539325842696,7.6923076923076925,2.5237683664649966,higher
compliance,Hispanic,5.168539325842696,4.166666666666666,-1.0018726591760299,lower
compliance,Asian,5.168539325842696,9.523809523809524,4.355270197966828,higher
oriented,Black,38.20224719101123,41.53846153846154,3.3362143474503085,higher
oriented,Hispanic,38.20224719101123,41.66666666666667,3.46441947565544,higher
oriented,Asian,38.20224719101123,33.33333333333333,-4.868913857677903,lower
refused,Black,7.752808988764046,15.384615384615385,7.631806395851339,higher
refused,Hispanic,7.752808988764046,12.5,4.747191011235954,higher
refused,Asian,7.752808988764046,0.0,-7.752808988764046,lower
agitated,Black,4.382022471910112,4.615384615384616,0.2333621434745039,higher
agitated,Hispanic,4.382022471910112,4.166666666666666,-0.21535580524344589,lower
agitated,Asian,4.382022471910112,0.0,-4.382022471910112,lower
presented,Black,41.91011235955056,50.76923076923077,8.859118409680207,higher
presented,Hispanic,41.91011235955056,37.5,-4.41011235955056,lower
presented,Asian,41.91011235955056,38.095238095238095,-3.814874264312465,lower
cooperative,Black,4.606741573033708,3.076923076923077,-1.529818496110631,lower
cooperative,Hispanic,4.606741573033708,12.5,7.893258426966292,higher
cooperative,Asian,4.606741573033708,4.761904761904762,0.15516318887105385,higher
refusing,Black,1.6853932584269662,6.153846153846154,4.468452895419188,higher
refusing,Hispanic,1.6853932584269662,0.0,-1.6853932584269662,lower
refusing,Asian,1.6853932584269662,0.0,-1.6853932584269662,lower
requested,Black,4.49438202247191,8.461538461538462,3.9671564390665512,higher
requested,Hispanic,4.49438202247191,4.166666666666666,-0.32771535580524436,lower
requested,Asian,4.49438202247191,0.0,-4.49438202247191,lower
declined,Black,5.955056179775281,8.461538461538462,2.506482281763181,higher
declined,Hispanic,5.955056179775281,4.166666666666666,-1.7883895131086147,lower
declined,Asian,5.955056179775281,4.761904761904762,-1.193151417870519,lower
